 ,2,32,128,256,512,1024,2048,4096,8192,16384,32768
1,0.001815,0.001725,0.002091,0.003071,0.005465,0.016535,0.090529,0.355775,1.178634,3.062344,9.032086,
2,0.002011,0.002035,0.002179,0.002677,0.004858,0.013271,0.047391,0.180614,0.681206,1.982826,5.276247,
4,0.002160,0.002252,0.002327,0.002488,0.003612,0.007787,0.024613,0.092430,0.360600,1.109384,3.205796,
8,0.019888,0.018594,0.002709,0.052442,0.017089,0.009697,0.028288,0.058411,0.406845,0.675220,2.300272,
16,0.016613,0.007322,0.052535,0.006369,0.017401,0.007949,0.013631,0.043368,0.152303,0.610434,1.635606,
32,0.036829,0.055858,0.096078,0.394293,0.055037,0.056579,0.083356,0.374162,0.379107,0.491939,1.283151,
64,0.008461,0.009146,0.010599,0.010844,0.011030,0.013048,0.019922,0.041483,0.104909,0.380930,1.043908,
128,0.013296,0.020063,0.020726,0.020604,0.020124,0.022332,0.026468,0.045140,0.123344,0.358990,1.049987,
256,0.026690,0.036877,0.042210,0.041720,0.042475,0.043618,0.047272,0.063952,0.132299,0.393086,1.159578,
512,0.043955,0.058628,0.057756,0.056885,0.057478,0.059187,0.061990,0.079847,0.145217,0.390598,1.187917,
1024,0.078055,0.103569,0.104208,0.103336,0.103747,0.102840,0.107180,0.119556,0.178002,0.416484,1.173841,
2048,0.200549,0.273244,0.270996,0.271234,0.272437,0.270385,0.276253,0.289125,0.326102,0.525006,1.200770,
